state_id,county_id,voting_district,GEOID20,n_vote_dem_2020,n_vote_rep_2020,x,y
NC,Alamance County,000001,37001000001,536.2,1998.7,1469680.129665522,1555925.9227900957
NC,Alamance County,000002,37001000002,617.5,2196.3,1467916.0712928683,1566598.7479960856
NC,Alamance County,000004,37001000004,701.5,2117.5,1464178.1328994336,1588241.231045944
NC,Alamance County,000005,37001000005,435.2,1503.6,1471731.0345572778,1588278.485756771
NC,Alamance County,000007,37001000007,592.2,1816.2,1476720.199556752,1566144.8547833946
NC,Alamance County,000011,37001000011,1243.6,1111.2,1479456.5399713349,1590371.5394413495
NC,Alamance County,000013,37001000013,1260.9,1070.7,1478206.885683268,1580483.5055844623
NC,Alamance County,000035,37001000035,1268.7,1588.3,1463819.234980261,1580617.3764870393
NC,Alamance County,00003C,3700100003C,785.6,1112.2,1465735.329263324,1576859.0079252173
NC,Alamance County,00003N,3700100003N,1233.5,1268.8,1464003.9756064555,1576619.828647764
NC,Alamance County,00003S,3700100003S,2322.8,2363.8,1464597.404539715,1572983.0424787102
NC,Alamance County,00003W,3700100003W,792.1,1225.9,1461824.0794496236,1577726.2473331755
NC,Alamance County,000063,37001000063,1094.4,526.8,1473983.7120416095,1579033.2355600656
NC,Alamance County,000064,37001000064,1345.7,1865.2,1473318.9474260805,1572096.674517798
NC,Alamance County,00006E,3700100006E,869.5,727.8,1475428.1367147788,1576027.9678000682
NC,Alamance County,00006N,3700100006N,937.4,468.1,1474116.4115988212,1576655.5009227435
NC,Alamance County,00006S,3700100006S,886.6,1174.6,1476440.1408018915,1573115.2777897143
NC,Alamance County,00006W,3700100006W,383.3,306.0,1472369.2908553674,1575529.8861123237
NC,Alamance County,00008N,3700100008N,874.3,1477.0,1481154.8428938838,1559537.8174909407
NC,Alamance County,00008S,3700100008S,269.5,571.5,1482969.7425253063,1554110.810921014
NC,Alamance County,00009N,3700100009N,711.8,901.1,1480446.5566848095,1571344.2600433128
NC,Alamance County,00009S,3700100009S,1349.5,1907.8,1484907.0703472078,1567132.0929628687
NC,Alamance County,000103,37001000103,816.4,1394.2,1481929.0235839451,1574988.7400071444
NC,Alamance County,00010N,3700100010N,1135.7,1551.7,1483153.862197165,1582225.993477432
NC,Alamance County,00010S,3700100010S,3154.7,2481.9,1483524.794333114,1578371.6207421161
NC,Alamance County,000124,37001000124,638.9,683.9,1467678.6146636044,1578240.9309197522
NC,Alamance County,000125,37001000125,635.5,859.1,1467950.6504390915,1575162.5737556873
NC,Alamance County,000126,37001000126,631.4,823.0,1467783.4291270482,1576675.5853149795
